State_Pair,State1,State2,Total_Passengers
Idaho-New Jersey,Idaho,New Jersey,9700
Arkansas-Utah,Arkansas,Utah,9700
Arizona-Wyoming,Arizona,Wyoming,9670
Michigan-Mississippi,Michigan,Mississippi,9550
Louisiana-Maine,Louisiana,Maine,9510
Montana-Ohio,Montana,Ohio,9480
Idaho-Montana,Idaho,Montana,9480
South Dakota-Utah,South Dakota,Utah,9410
California-West Virginia,California,West Virginia,9400
Alaska-Maryland,Alaska,Maryland,9330
New Hampshire-South Carolina,New Hampshire,South Carolina,9310
New Hampshire-Virginia,New Hampshire,Virginia,9310
North Dakota-Utah,North Dakota,Utah,9220
North Carolina-South Dakota,North Carolina,South Dakota,9210
Mississippi-Nevada,Mississippi,Nevada,9100
Arizona-Mississippi,Arizona,Mississippi,9100
Maine-Minnesota,Maine,Minnesota,9090
Maine-Nevada,Maine,Nevada,9020
Mississippi-Missouri,Mississippi,Missouri,9010
Indiana-Iowa,Indiana,Iowa,8990
Alabama-Connecticut,Alabama,Connecticut,8960
Connecticut-New York,Connecticut,New York,8910
Alaska-Ohio,Alaska,Ohio,8900
New Jersey-Wyoming,New Jersey,Wyoming,8780
Mississippi-Washington,Mississippi,Washington,8780
Indiana-New Mexico,Indiana,New Mexico,8770
Idaho-Ohio,Idaho,Ohio,8760
Pennsylvania-South Dakota,Pennsylvania,South Dakota,8680
Indiana-Rhode Island,Indiana,Rhode Island,8620
Maine-Washington,Maine,Washington,8620
Kansas-Michigan,Kansas,Michigan,8530
Kansas-Virginia,Kansas,Virginia,8470
Massachusetts-Wyoming,Massachusetts,Wyoming,8450
Connecticut-Oklahoma,Connecticut,Oklahoma,8400
Pennsylvania-Wyoming,Pennsylvania,Wyoming,8320
District of Columbia-South Dakota,District of Columbia,South Dakota,8310
Kansas-Ohio,Kansas,Ohio,8260
Alaska-Oklahoma,Alaska,Oklahoma,8240
Oregon-South Dakota,Oregon,South Dakota,8190
Idaho-Wisconsin,Idaho,Wisconsin,8160
Kentucky-Ohio,Kentucky,Ohio,8150
North Carolina-North Dakota,North Carolina,North Dakota,8120
Iowa-South Carolina,Iowa,South Carolina,8120
North Dakota-Pennsylvania,North Dakota,Pennsylvania,7990
Iowa-Kentucky,Iowa,Kentucky,7960
Virginia-West Virginia,Virginia,West Virginia,7940
Alaska-Wisconsin,Alaska,Wisconsin,7760
Mississippi-Ohio,Mississippi,Ohio,7760
District of Columbia-North Dakota,District of Columbia,North Dakota,7740
Maine-Wisconsin,Maine,Wisconsin,7690
Michigan-South Dakota,Michigan,South Dakota,7670
Mississippi-South Carolina,Mississippi,South Carolina,7590
Kentucky-New Mexico,Kentucky,New Mexico,7590
North Dakota-Tennessee,North Dakota,Tennessee,7540
North Dakota-Oregon,North Dakota,Oregon,7520
Minnesota-Mississippi,Minnesota,Mississippi,7500
Kentucky-Maine,Kentucky,Maine,7490
South Dakota-Tennessee,South Dakota,Tennessee,7330
Washington-Wyoming,Washington,Wyoming,7310
Kentucky-New Hampshire,Kentucky,New Hampshire,7290
Rhode Island-Wisconsin,Rhode Island,Wisconsin,7230
Minnesota-Wyoming,Minnesota,Wyoming,7230
Virginia-Wyoming,Virginia,Wyoming,7220
Kansas-Massachusetts,Kansas,Massachusetts,7140
Vermont-Washington,Vermont,Washington,7120
Arizona-Vermont,Arizona,Vermont,7090
Missouri-South Dakota,Missouri,South Dakota,7040
Idaho-Oklahoma,Idaho,Oklahoma,7030
Louisiana-Montana,Louisiana,Montana,6990
Kentucky-Montana,Kentucky,Montana,6970
Massachusetts-Mississippi,Massachusetts,Mississippi,6950
Mississippi-Tennessee,Mississippi,Tennessee,6810
Connecticut-New Mexico,Connecticut,New Mexico,6730
Alabama-New Mexico,Alabama,New Mexico,6730
Kansas-Oregon,Kansas,Oregon,6690
Kansas-Maryland,Kansas,Maryland,6680
Ohio-South Dakota,Ohio,South Dakota,6660
District of Columbia-West Virginia,District of Columbia,West Virginia,6660
Indiana-Montana,Indiana,Montana,6630
Mississippi-New Jersey,Mississippi,New Jersey,6600
Alabama-Tennessee,Alabama,Tennessee,6590
Kansas-Louisiana,Kansas,Louisiana,6590
South Dakota-Virginia,South Dakota,Virginia,6520
New Mexico-South Carolina,New Mexico,South Carolina,6510
North Carolina-Wyoming,North Carolina,Wyoming,6490
Nevada-Vermont,Nevada,Vermont,6470
Alabama-Arkansas,Alabama,Arkansas,6460
North Dakota-Oklahoma,North Dakota,Oklahoma,6440
Minnesota-New Hampshire,Minnesota,New Hampshire,6440
Indiana-Maine,Indiana,Maine,6430
Alaska-New Mexico,Alaska,New Mexico,6430
Alabama-Nebraska,Alabama,Nebraska,6380
Maryland-Mississippi,Maryland,Mississippi,6210
Idaho-New Mexico,Idaho,New Mexico,6160
New York-West Virginia,New York,West Virginia,6150
New Hampshire-Utah,New Hampshire,Utah,6100
Alaska-Nebraska,Alaska,Nebraska,6100
Montana-Oklahoma,Montana,Oklahoma,6060
Kansas-New Jersey,Kansas,New Jersey,6060
Idaho-Louisiana,Idaho,Louisiana,6030
Pennsylvania-West Virginia,Pennsylvania,West Virginia,5940
Idaho-Indiana,Idaho,Indiana,5930
New Hampshire-Washington,New Hampshire,Washington,5920
Montana-New Mexico,Montana,New Mexico,5920
North Dakota-Ohio,North Dakota,Ohio,5870
Nebraska-Oklahoma,Nebraska,Oklahoma,5780
Idaho-Nebraska,Idaho,Nebraska,5690
Rhode Island-Utah,Rhode Island,Utah,5690
Minnesota-Vermont,Minnesota,Vermont,5680
North Dakota-Wisconsin,North Dakota,Wisconsin,5670
Indiana-Kansas,Indiana,Kansas,5670
Iowa-Oklahoma,Iowa,Oklahoma,5630
Alabama-Rhode Island,Alabama,Rhode Island,5520
North Dakota-Virginia,North Dakota,Virginia,5500
Louisiana-North Dakota,Louisiana,North Dakota,5500
Connecticut-Iowa,Connecticut,Iowa,5460
Connecticut-Nebraska,Connecticut,Nebraska,5420
Kansas-Utah,Kansas,Utah,5390
New Jersey-South Dakota,New Jersey,South Dakota,5370
New Hampshire-Wisconsin,New Hampshire,Wisconsin,5310
Massachusetts-South Dakota,Massachusetts,South Dakota,5300
Louisiana-New Hampshire,Louisiana,New Hampshire,5300
New York-Rhode Island,New York,Rhode Island,5290
Montana-Nebraska,Montana,Nebraska,5230
Idaho-Kentucky,Idaho,Kentucky,5160
Nebraska-New Mexico,Nebraska,New Mexico,5160
Indiana-New Hampshire,Indiana,New Hampshire,5130
Indiana-Mississippi,Indiana,Mississippi,5130
Indiana-South Dakota,Indiana,South Dakota,5100
Kentucky-Mississippi,Kentucky,Mississippi,5100
Tennessee-Wyoming,Tennessee,Wyoming,5090
Tennessee-Vermont,Tennessee,Vermont,5030
Alaska-Indiana,Alaska,Indiana,5000
South Carolina-Vermont,South Carolina,Vermont,4920
Kansas-Kentucky,Kansas,Kentucky,4890
Mississippi-Oklahoma,Mississippi,Oklahoma,4810
South Dakota-Wisconsin,South Dakota,Wisconsin,4790
Oregon-Wyoming,Oregon,Wyoming,4760
Michigan-Wyoming,Michigan,Wyoming,4750
Oregon-Rhode Island,Oregon,Rhode Island,4710
Alaska-Kentucky,Alaska,Kentucky,4700
Mississippi-Utah,Mississippi,Utah,4600
District of Columbia-Wyoming,District of Columbia,Wyoming,4580
Alabama-Iowa,Alabama,Iowa,4540
Massachusetts-North Dakota,Massachusetts,North Dakota,4470
Indiana-North Dakota,Indiana,North Dakota,4460
Maine-Utah,Maine,Utah,4430
Missouri-Wyoming,Missouri,Wyoming,4400
Kansas-Wisconsin,Kansas,Wisconsin,4360
New Jersey-North Dakota,New Jersey,North Dakota,4340
Ohio-Wyoming,Ohio,Wyoming,4300
Mississippi-Wisconsin,Mississippi,Wisconsin,4280
Oregon-Vermont,Oregon,Vermont,4250
Missouri-Vermont,Missouri,Vermont,4230
Ohio-Vermont,Ohio,Vermont,4110
Kentucky-South Dakota,Kentucky,South Dakota,4080
Kansas-South Carolina,Kansas,South Carolina,4070
Arkansas-Nebraska,Arkansas,Nebraska,4050
Colorado-West Virginia,Colorado,West Virginia,4050
Maine-Oregon,Maine,Oregon,4050
Alabama-New Hampshire,Alabama,New Hampshire,4020
Louisiana-South Dakota,Louisiana,South Dakota,3960
Iowa-New Mexico,Iowa,New Mexico,3960
Maryland-South Dakota,Maryland,South Dakota,3950
Arkansas-New Mexico,Arkansas,New Mexico,3940
Louisiana-West Virginia,Louisiana,West Virginia,3920
Iowa-Wisconsin,Iowa,Wisconsin,3910
New Mexico-Rhode Island,New Mexico,Rhode Island,3900
Arkansas-Connecticut,Arkansas,Connecticut,3890
Alabama-Maine,Alabama,Maine,3790
Utah-Vermont,Utah,Vermont,3770
Oklahoma-Rhode Island,Oklahoma,Rhode Island,3750
New Hampshire-Oregon,New Hampshire,Oregon,3720
Alaska-North Dakota,Alaska,North Dakota,3670
Arizona-West Virginia,Arizona,West Virginia,3650
Vermont-Wisconsin,Vermont,Wisconsin,3640
Mississippi-Oregon,Mississippi,Oregon,3630
Oklahoma-Wyoming,Oklahoma,Wyoming,3580
Montana-North Dakota,Montana,North Dakota,3540
Kentucky-Vermont,Kentucky,Vermont,3520
Alabama-Kansas,Alabama,Kansas,3510
Alaska-Arkansas,Alaska,Arkansas,3510
Louisiana-Wyoming,Louisiana,Wyoming,3470
Idaho-North Dakota,Idaho,North Dakota,3460
Louisiana-Vermont,Louisiana,Vermont,3440
Kentucky-North Dakota,Kentucky,North Dakota,3430
Idaho-Iowa,Idaho,Iowa,3410
Maryland-North Dakota,Maryland,North Dakota,3360
Alaska-South Carolina,Alaska,South Carolina,3340
Massachusetts-Rhode Island,Massachusetts,Rhode Island,3320
Arkansas-Iowa,Arkansas,Iowa,3290
Maine-Massachusetts,Maine,Massachusetts,3280
Missouri-West Virginia,Missouri,West Virginia,3260
Maryland-Wyoming,Maryland,Wyoming,3220
New Hampshire-Oklahoma,New Hampshire,Oklahoma,3210
New Hampshire-New Mexico,New Hampshire,New Mexico,3210
Iowa-Montana,Iowa,Montana,3190
Montana-South Dakota,Montana,South Dakota,3170
Oklahoma-South Dakota,Oklahoma,South Dakota,3110
Arkansas-Oklahoma,Arkansas,Oklahoma,3090
Nebraska-Rhode Island,Nebraska,Rhode Island,3030
Nebraska-North Dakota,Nebraska,North Dakota,3010
Montana-South Carolina,Montana,South Carolina,2980
Massachusetts-West Virginia,Massachusetts,West Virginia,2940
Alaska-South Dakota,Alaska,South Dakota,2930
Alabama-Alaska,Alabama,Alaska,2910
South Carolina-South Dakota,South Carolina,South Dakota,2900
Nevada-West Virginia,Nevada,West Virginia,2880
Alabama-Montana,Alabama,Montana,2870
Kentucky-Wyoming,Kentucky,Wyoming,2850
Maine-Oklahoma,Maine,Oklahoma,2820
Connecticut-Montana,Connecticut,Montana,2810
Connecticut-Mississippi,Connecticut,Mississippi,2710
Arkansas-Rhode Island,Arkansas,Rhode Island,2700
Maine-New Mexico,Maine,New Mexico,2640
Iowa-Rhode Island,Iowa,Rhode Island,2590
Massachusetts-New Hampshire,Massachusetts,New Hampshire,2580
Iowa-North Dakota,Iowa,North Dakota,2570
Indiana-Vermont,Indiana,Vermont,2460
Iowa-Maine,Iowa,Maine,2410
Tennessee-West Virginia,Tennessee,West Virginia,2410
Idaho-South Carolina,Idaho,South Carolina,2400
Idaho-South Dakota,Idaho,South Dakota,2380
Maine-Nebraska,Maine,Nebraska,2350
Washington-West Virginia,Washington,West Virginia,2310
New Jersey-West Virginia,New Jersey,West Virginia,2280
Arkansas-Idaho,Arkansas,Idaho,2280
Indiana-Kentucky,Indiana,Kentucky,2270
Alaska-Iowa,Alaska,Iowa,2270
Alabama-South Dakota,Alabama,South Dakota,2270
Nebraska-New Hampshire,Nebraska,New Hampshire,2240
Alabama-Idaho,Alabama,Idaho,2200
Mississippi-Nebraska,Mississippi,Nebraska,2160
Connecticut-Idaho,Connecticut,Idaho,2140
Connecticut-Kansas,Connecticut,Kansas,2140
Kansas-New Mexico,Kansas,New Mexico,2140
Arkansas-Montana,Arkansas,Montana,2120
Mississippi-New Mexico,Mississippi,New Mexico,2070
Wisconsin-Wyoming,Wisconsin,Wyoming,2040
New Mexico-North Dakota,New Mexico,North Dakota,2030
Michigan-West Virginia,Michigan,West Virginia,2000
Arkansas-Mississippi,Arkansas,Mississippi,1960
Alabama-West Virginia,Alabama,West Virginia,1910
North Dakota-South Carolina,North Dakota,South Carolina,1890
Alabama-Wyoming,Alabama,Wyoming,1880
Alaska-Connecticut,Alaska,Connecticut,1880
Minnesota-West Virginia,Minnesota,West Virginia,1850
Idaho-Kansas,Idaho,Kansas,1850
Connecticut-South Dakota,Connecticut,South Dakota,1840
New Mexico-South Dakota,New Mexico,South Dakota,1840
Alabama-North Dakota,Alabama,North Dakota,1820
Arkansas-North Dakota,Arkansas,North Dakota,1770
New Mexico-Vermont,New Mexico,Vermont,1630
Arkansas-Maine,Arkansas,Maine,1620
Connecticut-Wyoming,Connecticut,Wyoming,1610
Connecticut-Massachusetts,Connecticut,Massachusetts,1600
Idaho-Wyoming,Idaho,Wyoming,1590
Arkansas-New Hampshire,Arkansas,New Hampshire,1590
North Dakota-South Dakota,North Dakota,South Dakota,1580
Mississippi-Rhode Island,Mississippi,Rhode Island,1570
Iowa-New Hampshire,Iowa,New Hampshire,1540
Connecticut-North Dakota,Connecticut,North Dakota,1510
Utah-West Virginia,Utah,West Virginia,1510
Kansas-Montana,Kansas,Montana,1510
Alaska-Wyoming,Alaska,Wyoming,1490
Indiana-Wyoming,Indiana,Wyoming,1470
South Carolina-Wyoming,South Carolina,Wyoming,1460
Oklahoma-West Virginia,Oklahoma,West Virginia,1420
Montana-Wyoming,Montana,Wyoming,1390
Alabama-Vermont,Alabama,Vermont,1370
New Mexico-Wyoming,New Mexico,Wyoming,1370
Maine-Mississippi,Maine,Mississippi,1350
Alaska-Kansas,Alaska,Kansas,1350
Iowa-Kansas,Iowa,Kansas,1330
Maine-Montana,Maine,Montana,1330
West Virginia-Wisconsin,West Virginia,Wisconsin,1310
Arkansas-Kansas,Arkansas,Kansas,1300
Arkansas-South Dakota,Arkansas,South Dakota,1290
Iowa-Mississippi,Iowa,Mississippi,1290
Kansas-Mississippi,Kansas,Mississippi,1270
Alaska-Mississippi,Alaska,Mississippi,1220
Kansas-North Dakota,Kansas,North Dakota,1190
North Dakota-Wyoming,North Dakota,Wyoming,1190
Maryland-Vermont,Maryland,Vermont,1180
Montana-Vermont,Montana,Vermont,1170
Mississippi-North Dakota,Mississippi,North Dakota,1160
Iowa-South Dakota,Iowa,South Dakota,1150
Nebraska-South Dakota,Nebraska,South Dakota,1140
Nebraska-Wyoming,Nebraska,Wyoming,1140
Maryland-West Virginia,Maryland,West Virginia,1090
Massachusetts-Vermont,Massachusetts,Vermont,1080
Oregon-West Virginia,Oregon,West Virginia,1080
Arkansas-Wyoming,Arkansas,Wyoming,1050
Iowa-Vermont,Iowa,Vermont,1010
Mississippi-West Virginia,Mississippi,West Virginia,940
Mississippi-South Dakota,Mississippi,South Dakota,940
Nebraska-Vermont,Nebraska,Vermont,910
Connecticut-West Virginia,Connecticut,West Virginia,910
Mississippi-Montana,Mississippi,Montana,870
Kansas-Rhode Island,Kansas,Rhode Island,860
Iowa-Wyoming,Iowa,Wyoming,850
Oklahoma-Vermont,Oklahoma,Vermont,840
Arkansas-West Virginia,Arkansas,West Virginia,840
Alabama-Mississippi,Alabama,Mississippi,820
Idaho-New Hampshire,Idaho,New Hampshire,820
Arkansas-Vermont,Arkansas,Vermont,810
Alaska-Maine,Alaska,Maine,790
Louisiana-Mississippi,Louisiana,Mississippi,780
Connecticut-Rhode Island,Connecticut,Rhode Island,720
Maine-West Virginia,Maine,West Virginia,700
Montana-New Hampshire,Montana,New Hampshire,700
Kansas-South Dakota,Kansas,South Dakota,700
Maine-North Dakota,Maine,North Dakota,690
Idaho-Vermont,Idaho,Vermont,660
Mississippi-New Hampshire,Mississippi,New Hampshire,650
Nebraska-West Virginia,Nebraska,West Virginia,650
Alaska-Vermont,Alaska,Vermont,650
Montana-Rhode Island,Montana,Rhode Island,640
Iowa-Nebraska,Iowa,Nebraska,630
Vermont-Wyoming,Vermont,Wyoming,630
Idaho-Maine,Idaho,Maine,630
Indiana-West Virginia,Indiana,West Virginia,620
Rhode Island-South Dakota,Rhode Island,South Dakota,610
Idaho-Mississippi,Idaho,Mississippi,610
Kansas-Maine,Kansas,Maine,600
Kansas-Wyoming,Kansas,Wyoming,590
Idaho-Rhode Island,Idaho,Rhode Island,580
South Dakota-Wyoming,South Dakota,Wyoming,580
Rhode Island-West Virginia,Rhode Island,West Virginia,510
Kansas-Nebraska,Kansas,Nebraska,510
Maine-South Dakota,Maine,South Dakota,500
Maine-Wyoming,Maine,Wyoming,490
North Dakota-Rhode Island,North Dakota,Rhode Island,480
Montana-West Virginia,Montana,West Virginia,470
Kansas-New Hampshire,Kansas,New Hampshire,460
Mississippi-Wyoming,Mississippi,Wyoming,410
Kansas-Oklahoma,Kansas,Oklahoma,410
Rhode Island-Wyoming,Rhode Island,Wyoming,410
Kansas-West Virginia,Kansas,West Virginia,390
North Dakota-Vermont,North Dakota,Vermont,380
Mississippi-Vermont,Mississippi,Vermont,370
New Hampshire-West Virginia,New Hampshire,West Virginia,370
New Mexico-West Virginia,New Mexico,West Virginia,340
New Hampshire-North Dakota,New Hampshire,North Dakota,330
South Dakota-Vermont,South Dakota,Vermont,320
Ohio-West Virginia,Ohio,West Virginia,310
Alaska-Rhode Island,Alaska,Rhode Island,300
New Hampshire-South Dakota,New Hampshire,South Dakota,280
Iowa-West Virginia,Iowa,West Virginia,260
Kansas-Vermont,Kansas,Vermont,260
Alaska-West Virginia,Alaska,West Virginia,260
Vermont-West Virginia,Vermont,West Virginia,240
Kentucky-West Virginia,Kentucky,West Virginia,230
Connecticut-Maine,Connecticut,Maine,230
West Virginia-Wyoming,West Virginia,Wyoming,220
Connecticut-Vermont,Connecticut,Vermont,210
South Dakota-West Virginia,South Dakota,West Virginia,200
Idaho-West Virginia,Idaho,West Virginia,190
Maine-Vermont,Maine,Vermont,180
Alaska-New Hampshire,Alaska,New Hampshire,170
Connecticut-New Hampshire,Connecticut,New Hampshire,170
New Hampshire-Wyoming,New Hampshire,Wyoming,170
New Hampshire-Rhode Island,New Hampshire,Rhode Island,170
North Dakota-West Virginia,North Dakota,West Virginia,150
Maine-New Hampshire,Maine,New Hampshire,140
Rhode Island-Vermont,Rhode Island,Vermont,140
Maine-Rhode Island,Maine,Rhode Island,80
New Hampshire-Vermont,New Hampshire,Vermont,40
