State_Pair,State1,State2,Total_Passengers
Kentucky-Michigan,Kentucky,Michigan,88460
Pennsylvania-Wisconsin,Pennsylvania,Wisconsin,88250
District of Columbia-Kentucky,District of Columbia,Kentucky,87980
Maryland-Utah,Maryland,Utah,87650
District of Columbia-Wisconsin,District of Columbia,Wisconsin,87630
New Jersey-Pennsylvania,New Jersey,Pennsylvania,87420
Alabama-Illinois,Alabama,Illinois,86570
Colorado-North Dakota,Colorado,North Dakota,85790
Louisiana-Maryland,Louisiana,Maryland,85440
Indiana-Massachusetts,Indiana,Massachusetts,85350
Idaho-Oregon,Idaho,Oregon,85280
Massachusetts-Wisconsin,Massachusetts,Wisconsin,85220
Kentucky-New Jersey,Kentucky,New Jersey,85000
Louisiana-Michigan,Louisiana,Michigan,84680
North Carolina-Rhode Island,North Carolina,Rhode Island,83190
Illinois-New Mexico,Illinois,New Mexico,81000
Florida-New Mexico,Florida,New Mexico,80990
Kentucky-Minnesota,Kentucky,Minnesota,80100
Alaska-Texas,Alaska,Texas,80060
Indiana-New Jersey,Indiana,New Jersey,80000
Georgia-Nebraska,Georgia,Nebraska,79620
Pennsylvania-Utah,Pennsylvania,Utah,79320
North Carolina-Oregon,North Carolina,Oregon,78760
Louisiana-Washington,Louisiana,Washington,78330
Illinois-New Hampshire,Illinois,New Hampshire,77210
New Jersey-Oregon,New Jersey,Oregon,76440
Washington-Wisconsin,Washington,Wisconsin,75910
New Mexico-New York,New Mexico,New York,75790
Colorado-Connecticut,Colorado,Connecticut,75020
Maryland-Virginia,Maryland,Virginia,75000
Oregon-Pennsylvania,Oregon,Pennsylvania,74830
Florida-South Dakota,Florida,South Dakota,74620
Maryland-Pennsylvania,Maryland,Pennsylvania,74360
Missouri-Oklahoma,Missouri,Oklahoma,74180
Idaho-Texas,Idaho,Texas,74120
Louisiana-Virginia,Louisiana,Virginia,73250
New York-Vermont,New York,Vermont,72210
South Carolina-Virginia,South Carolina,Virginia,71610
Florida-Vermont,Florida,Vermont,71490
Arizona-Louisiana,Arizona,Louisiana,70870
District of Columbia-Utah,District of Columbia,Utah,70790
California-Rhode Island,California,Rhode Island,70430
District of Columbia-Oregon,District of Columbia,Oregon,69950
Colorado-South Dakota,Colorado,South Dakota,68990
Connecticut-Michigan,Connecticut,Michigan,68920
District of Columbia-Virginia,District of Columbia,Virginia,67350
Connecticut-Pennsylvania,Connecticut,Pennsylvania,67200
Alaska-Arizona,Alaska,Arizona,67120
Kentucky-Massachusetts,Kentucky,Massachusetts,66420
Minnesota-South Dakota,Minnesota,South Dakota,66380
Maryland-Wisconsin,Maryland,Wisconsin,65430
North Carolina-Oklahoma,North Carolina,Oklahoma,65180
Illinois-Kansas,Illinois,Kansas,65160
Michigan-Oregon,Michigan,Oregon,63860
Arkansas-Nevada,Arkansas,Nevada,63400
Kansas-Nevada,Kansas,Nevada,62870
