group_id,label,target,metric,rel_val,n_samples,strain,flights,commuting,stochastic,capped
nf_n_hi_pois,No Flight – Network - high,onset150,mean_mae,0.751414,540.0,hi,nf,n,y,0
f_n_hi_pois,Flight – Network - high,onset150,mean_mae,0.682249,540.0,hi,f,n,y,0
nf_p_hs_pois,No Flight – patch - highest,onset150,mean_mae,1.000000,417.3,hs,nf,p,y,0
f_p_hs_pois,Flight – patch - highest,onset150,mean_mae,0.821173,417.3,hs,f,p,y,0
nf_n_hs_pois,No Flight – Network - highest,onset150,mean_mae,0.747818,417.3,hs,nf,n,y,0
f_n_hs_pois,Flight – Network - highest,onset150,mean_mae,0.684926,417.3,hs,f,n,y,0
nf_p_ls_pois,No Flight – patch - lowest,onset150,mean_wis,1.000000,657.1,ls,nf,p,y,0
f_p_ls_pois,Flight – patch - lowest,onset150,mean_wis,1.005486,657.1,ls,f,p,y,0
nf_n_ls_pois,No Flight – Network - lowest,onset150,mean_wis,0.848362,657.1,ls,nf,n,y,0
f_n_ls_pois,Flight – Network - lowest,onset150,mean_wis,0.839738,657.1,ls,f,n,y,0
nf_p_lo_pois,No Flight – patch - low,onset150,mean_wis,1.000000,652.9,lo,nf,p,y,0
f_p_lo_pois,Flight – patch - low,onset150,mean_wis,0.869399,652.9,lo,f,p,y,0
nf_n_lo_pois,No Flight – Network - low,onset150,mean_wis,0.752500,652.9,lo,nf,n,y,0
f_n_lo_pois,Flight – Network - low,onset150,mean_wis,0.713763,652.9,lo,f,n,y,0
nf_p_me_pois,No Flight – patch - medium,onset150,mean_wis,1.000000,539.8,me,nf,p,y,0
f_p_me_pois,Flight – patch - medium,onset150,mean_wis,0.873897,539.8,me,f,p,y,0
nf_n_me_pois,No Flight – Network - medium,onset150,mean_wis,0.833465,539.8,me,nf,n,y,0
f_n_me_pois,Flight – Network - medium,onset150,mean_wis,0.791522,539.8,me,f,n,y,0
nf_p_hi_pois,No Flight – patch - high,onset150,mean_wis,1.000000,540.0,hi,nf,p,y,0
f_p_hi_pois,Flight – patch - high,onset150,mean_wis,0.870696,540.0,hi,f,p,y,0
nf_n_hi_pois,No Flight – Network - high,onset150,mean_wis,0.817949,540.0,hi,nf,n,y,0
f_n_hi_pois,Flight – Network - high,onset150,mean_wis,0.756369,540.0,hi,f,n,y,0
nf_p_hs_pois,No Flight – patch - highest,onset150,mean_wis,1.000000,417.3,hs,nf,p,y,0
f_p_hs_pois,Flight – patch - highest,onset150,mean_wis,0.873883,417.3,hs,f,p,y,0
nf_n_hs_pois,No Flight – Network - highest,onset150,mean_wis,0.841916,417.3,hs,nf,n,y,0
f_n_hs_pois,Flight – Network - highest,onset150,mean_wis,0.787539,417.3,hs,f,n,y,0
