"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"New Jersey-North Carolina","New Jersey","North Carolina","United States","United States",443560
"Florida-Washington","Florida","Washington","United States","United States",437340
"Colorado-Minnesota","Colorado","Minnesota","United States","United States",432020
"Colorado-Pennsylvania","Colorado","Pennsylvania","United States","United States",430120
"North Carolina-Virginia","North Carolina","Virginia","United States","United States",423260
"Arizona-Minnesota","Arizona","Minnesota","United States","United States",412870
"Texas-Utah","Texas","Utah","United States","United States",404340
"Georgia-Maryland","Georgia","Maryland","United States","United States",402940
"Arizona-Utah","Arizona","Utah","United States","United States",401160
"Arizona-New York","Arizona","New York","United States","United States",400730
"Illinois-Maryland","Illinois","Maryland","United States","United States",393250
"Oregon-Texas","Oregon","Texas","United States","United States",392320
"Georgia-Massachusetts","Georgia","Massachusetts","United States","United States",387100
"District of Columbia-Georgia","District of Columbia","Georgia","United States","United States",384550
"Nevada-Oregon","Nevada","Oregon","United States","United States",384150
"New York-Washington","New York","Washington","United States","United States",375590
"Maryland-Massachusetts","Maryland","Massachusetts","United States","United States",375210
"Georgia-Louisiana","Georgia","Louisiana","United States","United States",373800
"Georgia-Nevada","Georgia","Nevada","United States","United States",371010
"Arizona-Oregon","Arizona","Oregon","United States","United States",367640
"Maryland-New York","Maryland","New York","United States","United States",364110
"North Carolina-Tennessee","North Carolina","Tennessee","United States","United States",363540
"Colorado-North Carolina","Colorado","North Carolina","United States","United States",362310
"California-Idaho","California","Idaho","United States","United States",355040
"Missouri-Nevada","Missouri","Nevada","United States","United States",350250
"Colorado-Utah","Colorado","Utah","United States","United States",348330
"Georgia-Kentucky","Georgia","Kentucky","United States","United States",347260
"Minnesota-New York","Minnesota","New York","United States","United States",346200
"New York-Tennessee","New York","Tennessee","United States","United States",342560
"Arizona-Missouri","Arizona","Missouri","United States","United States",340350
"Nevada-Pennsylvania","Nevada","Pennsylvania","United States","United States",338780
"New York-South Carolina","New York","South Carolina","United States","United States",337080
"New Mexico-Texas","New Mexico","Texas","United States","United States",336850
"Georgia-South Carolina","Georgia","South Carolina","United States","United States",336210
"Colorado-Oregon","Colorado","Oregon","United States","United States",335790
"Missouri-New York","Missouri","New York","United States","United States",334630
"California-Indiana","California","Indiana","United States","United States",334170
"Kentucky-Texas","Kentucky","Texas","United States","United States",333020
"California-New Mexico","California","New Mexico","United States","United States",332220
"New York-Pennsylvania","New York","Pennsylvania","United States","United States",331320
"Maryland-North Carolina","Maryland","North Carolina","United States","United States",330070
"Illinois-Virginia","Illinois","Virginia","United States","United States",327430
"Georgia-New Jersey","Georgia","New Jersey","United States","United States",325840
"Arizona-Michigan","Arizona","Michigan","United States","United States",325020
"Colorado-Michigan","Colorado","Michigan","United States","United States",324020
"Florida-South Carolina","Florida","South Carolina","United States","United States",318750
"Colorado-Virginia","Colorado","Virginia","United States","United States",314280
"Colorado-Massachusetts","Colorado","Massachusetts","United States","United States",312700
"California-Wisconsin","California","Wisconsin","United States","United States",311090
"Arizona-Georgia","Arizona","Georgia","United States","United States",308650
"New York-Virginia","New York","Virginia","United States","United States",307850
"Illinois-Oregon","Illinois","Oregon","United States","United States",303000
"North Carolina-Ohio","North Carolina","Ohio","United States","United States",295610
"California-Kentucky","California","Kentucky","United States","United States",294670
"Michigan-Nevada","Michigan","Nevada","United States","United States",294660
"Georgia-Minnesota","Georgia","Minnesota","United States","United States",294150
"New York-Ohio","New York","Ohio","United States","United States",290740
"Alabama-Texas","Alabama","Texas","United States","United States",290040
"Colorado-Tennessee","Colorado","Tennessee","United States","United States",289670
"Nevada-Ohio","Nevada","Ohio","United States","United States",288770
"Alabama-Georgia","Alabama","Georgia","United States","United States",286840
"Georgia-Indiana","Georgia","Indiana","United States","United States",286260
"Colorado-Ohio","Colorado","Ohio","United States","United States",284220
"Arizona-Pennsylvania","Arizona","Pennsylvania","United States","United States",284190
"Indiana-Texas","Indiana","Texas","United States","United States",283570
"Louisiana-New York","Louisiana","New York","United States","United States",280990
"Florida-Iowa","Florida","Iowa","United States","United States",280020
"Massachusetts-Virginia","Massachusetts","Virginia","United States","United States",277500
"Arkansas-Texas","Arkansas","Texas","United States","United States",277200
"Minnesota-Washington","Minnesota","Washington","United States","United States",275470
"Utah-Washington","Utah","Washington","United States","United States",274430
"Michigan-Pennsylvania","Michigan","Pennsylvania","United States","United States",271080
"Arizona-North Carolina","Arizona","North Carolina","United States","United States",269380
"Michigan-Minnesota","Michigan","Minnesota","United States","United States",269160
"Nevada-Utah","Nevada","Utah","United States","United States",269090
"Georgia-Wisconsin","Georgia","Wisconsin","United States","United States",266610
"Massachusetts-New Jersey","Massachusetts","New Jersey","United States","United States",265450
"Michigan-North Carolina","Michigan","North Carolina","United States","United States",261880
"Florida-Utah","Florida","Utah","United States","United States",260170
"Colorado-New Jersey","Colorado","New Jersey","United States","United States",258860
"Illinois-Louisiana","Illinois","Louisiana","United States","United States",252320
"Illinois-Kentucky","Illinois","Kentucky","United States","United States",251930
"South Carolina-Texas","South Carolina","Texas","United States","United States",245180
"Arizona-New Jersey","Arizona","New Jersey","United States","United States",244860
"Florida-New Hampshire","Florida","New Hampshire","United States","United States",244250
"Nevada-New Jersey","Nevada","New Jersey","United States","United States",242530
"Minnesota-Wisconsin","Minnesota","Wisconsin","United States","United States",242250
"Texas-Wisconsin","Texas","Wisconsin","United States","United States",242080
"Missouri-North Carolina","Missouri","North Carolina","United States","United States",242060
"New Jersey-New York","New Jersey","New York","United States","United States",241440
"Pennsylvania-Tennessee","Pennsylvania","Tennessee","United States","United States",240870
"Georgia-Washington","Georgia","Washington","United States","United States",238140
"Maryland-Nevada","Maryland","Nevada","United States","United States",237910
"Illinois-Utah","Illinois","Utah","United States","United States",232120
"District of Columbia-North Carolina","District of Columbia","North Carolina","United States","United States",231770
"Massachusetts-Washington","Massachusetts","Washington","United States","United States",231120
"Colorado-Wisconsin","Colorado","Wisconsin","United States","United States",230020
"California-Oklahoma","California","Oklahoma","United States","United States",229730
"Minnesota-Nevada","Minnesota","Nevada","United States","United States",228070
"Colorado-District of Columbia","Colorado","District of Columbia","United States","United States",226860
"District of Columbia-Missouri","District of Columbia","Missouri","United States","United States",221250
"Missouri-Pennsylvania","Missouri","Pennsylvania","United States","United States",220820
"Massachusetts-Michigan","Massachusetts","Michigan","United States","United States",219900
"Massachusetts-Nevada","Massachusetts","Nevada","United States","United States",216940
"Alaska-California","Alaska","California","United States","United States",216900
"Massachusetts-Ohio","Massachusetts","Ohio","United States","United States",216240
"New York-Utah","New York","Utah","United States","United States",214650
"California-Montana","California","Montana","United States","United States",213250
"Maryland-Michigan","Maryland","Michigan","United States","United States",212570
"Arizona-Ohio","Arizona","Ohio","United States","United States",209070
"Illinois-Indiana","Illinois","Indiana","United States","United States",207710
"Minnesota-Missouri","Minnesota","Missouri","United States","United States",207080
"Idaho-Washington","Idaho","Washington","United States","United States",205920
"Florida-Oklahoma","Florida","Oklahoma","United States","United States",205650
"Pennsylvania-South Carolina","Pennsylvania","South Carolina","United States","United States",205290
"Arizona-Massachusetts","Arizona","Massachusetts","United States","United States",204280
"North Carolina-South Carolina","North Carolina","South Carolina","United States","United States",201710
"Illinois-Wisconsin","Illinois","Wisconsin","United States","United States",201360
"Nevada-Tennessee","Nevada","Tennessee","United States","United States",200610
"Illinois-Nebraska","Illinois","Nebraska","United States","United States",200300
"Colorado-Oklahoma","Colorado","Oklahoma","United States","United States",197100
"Nevada-North Carolina","Nevada","North Carolina","United States","United States",196660
"Kentucky-Nevada","Kentucky","Nevada","United States","United States",195240
"Florida-Maine","Florida","Maine","United States","United States",194380
"Oregon-Utah","Oregon","Utah","United States","United States",193000
"Florida-Oregon","Florida","Oregon","United States","United States",192490
"Minnesota-Pennsylvania","Minnesota","Pennsylvania","United States","United States",192080
"Colorado-Indiana","Colorado","Indiana","United States","United States",191600
"Colorado-Maryland","Colorado","Maryland","United States","United States",191450
"California-Nebraska","California","Nebraska","United States","United States",190760
"Michigan-Missouri","Michigan","Missouri","United States","United States",189660
"Missouri-Washington","Missouri","Washington","United States","United States",189050
"Arizona-Wisconsin","Arizona","Wisconsin","United States","United States",186430
"Michigan-New Jersey","Michigan","New Jersey","United States","United States",186360
"New York-Wisconsin","New York","Wisconsin","United States","United States",185520
"Arizona-North Dakota","Arizona","North Dakota","United States","United States",185520
"Massachusetts-Tennessee","Massachusetts","Tennessee","United States","United States",184430
"New Jersey-Washington","New Jersey","Washington","United States","United States",184230
"Montana-Nevada","Montana","Nevada","United States","United States",182630
"Michigan-Tennessee","Michigan","Tennessee","United States","United States",182460
"Indiana-New York","Indiana","New York","United States","United States",179730
"Massachusetts-Minnesota","Massachusetts","Minnesota","United States","United States",179490
"Georgia-Utah","Georgia","Utah","United States","United States",178790
"Nevada-Wisconsin","Nevada","Wisconsin","United States","United States",178730
"Colorado-Louisiana","Colorado","Louisiana","United States","United States",175350
"Illinois-Iowa","Illinois","Iowa","United States","United States",173980
"Indiana-Nevada","Indiana","Nevada","United States","United States",173830
"Nebraska-Texas","Nebraska","Texas","United States","United States",172850
"Minnesota-North Carolina","Minnesota","North Carolina","United States","United States",172670
"Florida-Nebraska","Florida","Nebraska","United States","United States",171700
"Colorado-Nebraska","Colorado","Nebraska","United States","United States",171460
"Kentucky-North Carolina","Kentucky","North Carolina","United States","United States",171000
"Michigan-Wisconsin","Michigan","Wisconsin","United States","United States",170140
"Pennsylvania-Washington","Pennsylvania","Washington","United States","United States",169610
"Connecticut-Illinois","Connecticut","Illinois","United States","United States",169200
"California-Connecticut","California","Connecticut","United States","United States",169060
"District of Columbia-Tennessee","District of Columbia","Tennessee","United States","United States",168720
"Nevada-Virginia","Nevada","Virginia","United States","United States",168620
"Arizona-Maryland","Arizona","Maryland","United States","United States",168490
"Alabama-Florida","Alabama","Florida","United States","United States",168300
"New York-Oregon","New York","Oregon","United States","United States",168180
"Arizona-New Mexico","Arizona","New Mexico","United States","United States",168080
"Michigan-Washington","Michigan","Washington","United States","United States",166650
"Nevada-North Dakota","Nevada","North Dakota","United States","United States",166110
"Pennsylvania-Virginia","Pennsylvania","Virginia","United States","United States",165850
"Arizona-Indiana","Arizona","Indiana","United States","United States",165000
"Ohio-Pennsylvania","Ohio","Pennsylvania","United States","United States",163580
"Illinois-South Carolina","Illinois","South Carolina","United States","United States",163180
"California-South Carolina","California","South Carolina","United States","United States",162590
"Kentucky-New York","Kentucky","New York","United States","United States",162520
"North Carolina-Washington","North Carolina","Washington","United States","United States",161560
"Maryland-Tennessee","Maryland","Tennessee","United States","United States",160680
"District of Columbia-Ohio","District of Columbia","Ohio","United States","United States",160440
"District of Columbia-Minnesota","District of Columbia","Minnesota","United States","United States",159720
"Virginia-Washington","Virginia","Washington","United States","United States",159590
"Arizona-Montana","Arizona","Montana","United States","United States",159030
"Montana-Washington","Montana","Washington","United States","United States",157450
"Maryland-Rhode Island","Maryland","Rhode Island","United States","United States",155600
"Florida-West Virginia","Florida","West Virginia","United States","United States",155150
"Minnesota-North Dakota","Minnesota","North Dakota","United States","United States",154770
"Maryland-Missouri","Maryland","Missouri","United States","United States",150300
"Arizona-Tennessee","Arizona","Tennessee","United States","United States",148580
"Colorado-Kentucky","Colorado","Kentucky","United States","United States",148450
"Missouri-Tennessee","Missouri","Tennessee","United States","United States",147410
"Indiana-North Carolina","Indiana","North Carolina","United States","United States",146800
"Louisiana-Nevada","Louisiana","Nevada","United States","United States",145980
"Louisiana-Pennsylvania","Louisiana","Pennsylvania","United States","United States",145210
"Maryland-Ohio","Maryland","Ohio","United States","United States",143250
"Nevada-Oklahoma","Nevada","Oklahoma","United States","United States",142710
"Massachusetts-Missouri","Massachusetts","Missouri","United States","United States",141840
"Connecticut-North Carolina","Connecticut","North Carolina","United States","United States",141490
"Colorado-Montana","Colorado","Montana","United States","United States",140410
"Arizona-Iowa","Arizona","Iowa","United States","United States",140130
"Maryland-New Hampshire","Maryland","New Hampshire","United States","United States",139310
"New Jersey-Ohio","New Jersey","Ohio","United States","United States",139080
"District of Columbia-Michigan","District of Columbia","Michigan","United States","United States",138720
"Ohio-Tennessee","Ohio","Tennessee","United States","United States",137640
"Missouri-New Jersey","Missouri","New Jersey","United States","United States",137480
"Georgia-Oklahoma","Georgia","Oklahoma","United States","United States",137330
"Idaho-Utah","Idaho","Utah","United States","United States",137150
"District of Columbia-South Carolina","District of Columbia","South Carolina","United States","United States",136630
"Arizona-District of Columbia","Arizona","District of Columbia","United States","United States",135230
"Arizona-Nebraska","Arizona","Nebraska","United States","United States",134420
"Louisiana-North Carolina","Louisiana","North Carolina","United States","United States",134230
"Minnesota-Oregon","Minnesota","Oregon","United States","United States",133800
"Iowa-Nevada","Iowa","Nevada","United States","United States",132910
"Arkansas-Georgia","Arkansas","Georgia","United States","United States",132230
"Montana-Utah","Montana","Utah","United States","United States",131980
"Connecticut-Georgia","Connecticut","Georgia","United States","United States",131880
"Missouri-Ohio","Missouri","Ohio","United States","United States",130000
"Michigan-Virginia","Michigan","Virginia","United States","United States",129020
"Arkansas-Florida","Arkansas","Florida","United States","United States",128940
"District of Columbia-Louisiana","District of Columbia","Louisiana","United States","United States",128890
"Connecticut-Maryland","Connecticut","Maryland","United States","United States",127240
"Iowa-Texas","Iowa","Texas","United States","United States",126760
"Ohio-South Carolina","Ohio","South Carolina","United States","United States",125980
"Georgia-Mississippi","Georgia","Mississippi","United States","United States",125760
"California-Iowa","California","Iowa","United States","United States",125320
"Maryland-Minnesota","Maryland","Minnesota","United States","United States",124410
"Alaska-Oregon","Alaska","Oregon","United States","United States",123790
"Mississippi-Texas","Mississippi","Texas","United States","United States",122040
"Illinois-Oklahoma","Illinois","Oklahoma","United States","United States",121800
"Arizona-Kentucky","Arizona","Kentucky","United States","United States",121710
"Kansas-Texas","Kansas","Texas","United States","United States",120250
"New Jersey-Tennessee","New Jersey","Tennessee","United States","United States",119960
"Alabama-California","Alabama","California","United States","United States",119310
"Minnesota-Ohio","Minnesota","Ohio","United States","United States",118270
"Colorado-Iowa","Colorado","Iowa","United States","United States",118160
"Idaho-Nevada","Idaho","Nevada","United States","United States",117560
"Alabama-North Carolina","Alabama","North Carolina","United States","United States",115400
"New Jersey-South Carolina","New Jersey","South Carolina","United States","United States",115160
"Arkansas-California","Arkansas","California","United States","United States",115030
"Connecticut-District of Columbia","Connecticut","District of Columbia","United States","United States",114680
"Kentucky-Pennsylvania","Kentucky","Pennsylvania","United States","United States",113960
"Maryland-Washington","Maryland","Washington","United States","United States",113930
"Arizona-South Dakota","Arizona","South Dakota","United States","United States",113750
"District of Columbia-Washington","District of Columbia","Washington","United States","United States",113080
"Colorado-Idaho","Colorado","Idaho","United States","United States",112980
"Ohio-Virginia","Ohio","Virginia","United States","United States",111510
"Tennessee-Washington","Tennessee","Washington","United States","United States",111320
"Illinois-Rhode Island","Illinois","Rhode Island","United States","United States",111240
"Massachusetts-South Carolina","Massachusetts","South Carolina","United States","United States",111110
"Arizona-Virginia","Arizona","Virginia","United States","United States",111100
"Maine-New York","Maine","New York","United States","United States",110540
"Arizona-Idaho","Arizona","Idaho","United States","United States",110030
"Georgia-Oregon","Georgia","Oregon","United States","United States",109970
"Connecticut-Texas","Connecticut","Texas","United States","United States",108990
"Missouri-Oregon","Missouri","Oregon","United States","United States",108550
"Colorado-New Mexico","Colorado","New Mexico","United States","United States",108140
"District of Columbia-Indiana","District of Columbia","Indiana","United States","United States",105830
"Minnesota-Utah","Minnesota","Utah","United States","United States",105450
"Minnesota-Tennessee","Minnesota","Tennessee","United States","United States",105370
"Nebraska-Nevada","Nebraska","Nevada","United States","United States",104420
"District of Columbia-Nevada","District of Columbia","Nevada","United States","United States",103930
"Massachusetts-Oregon","Massachusetts","Oregon","United States","United States",103430
"Kentucky-Maryland","Kentucky","Maryland","United States","United States",102980
"Arizona-Oklahoma","Arizona","Oklahoma","United States","United States",101730
"North Carolina-Utah","North Carolina","Utah","United States","United States",100970
"Florida-North Dakota","Florida","North Dakota","United States","United States",100510
"Missouri-Utah","Missouri","Utah","United States","United States",100410
"Minnesota-New Jersey","Minnesota","New Jersey","United States","United States",99590
"Nevada-New Mexico","Nevada","New Mexico","United States","United States",99380
"Maryland-South Carolina","Maryland","South Carolina","United States","United States",98810
"Massachusetts-Utah","Massachusetts","Utah","United States","United States",98720
"Louisiana-Massachusetts","Louisiana","Massachusetts","United States","United States",97490
"Louisiana-Tennessee","Louisiana","Tennessee","United States","United States",97410
"Louisiana-New Jersey","Louisiana","New Jersey","United States","United States",96650
"Nevada-South Dakota","Nevada","South Dakota","United States","United States",96290
"Ohio-Washington","Ohio","Washington","United States","United States",96010
"Minnesota-Montana","Minnesota","Montana","United States","United States",95420
"Michigan-Ohio","Michigan","Ohio","United States","United States",94780
"Michigan-Utah","Michigan","Utah","United States","United States",94190
"New Jersey-Virginia","New Jersey","Virginia","United States","United States",93370
"Indiana-Pennsylvania","Indiana","Pennsylvania","United States","United States",92840
"Louisiana-Missouri","Louisiana","Missouri","United States","United States",92700
"Indiana-Michigan","Indiana","Michigan","United States","United States",92590
"Michigan-South Carolina","Michigan","South Carolina","United States","United States",92370
"Missouri-Wisconsin","Missouri","Wisconsin","United States","United States",92090
"Tennessee-Virginia","Tennessee","Virginia","United States","United States",91860
"Indiana-Minnesota","Indiana","Minnesota","United States","United States",91380
"Minnesota-Virginia","Minnesota","Virginia","United States","United States",90980
"Missouri-Virginia","Missouri","Virginia","United States","United States",90720
"Arkansas-Illinois","Arkansas","Illinois","United States","United States",90360
"North Carolina-Wisconsin","North Carolina","Wisconsin","United States","United States",89830
"Kentucky-Michigan","Kentucky","Michigan","United States","United States",88460
"Pennsylvania-Wisconsin","Pennsylvania","Wisconsin","United States","United States",88250
"District of Columbia-Kentucky","District of Columbia","Kentucky","United States","United States",87980
"Maryland-Utah","Maryland","Utah","United States","United States",87650
"District of Columbia-Wisconsin","District of Columbia","Wisconsin","United States","United States",87630
"New Jersey-Pennsylvania","New Jersey","Pennsylvania","United States","United States",87420
"Alabama-Illinois","Alabama","Illinois","United States","United States",86570
"Colorado-North Dakota","Colorado","North Dakota","United States","United States",85790
"Louisiana-Maryland","Louisiana","Maryland","United States","United States",85440
"Indiana-Massachusetts","Indiana","Massachusetts","United States","United States",85350
"Idaho-Oregon","Idaho","Oregon","United States","United States",85280
"Massachusetts-Wisconsin","Massachusetts","Wisconsin","United States","United States",85220
"Kentucky-New Jersey","Kentucky","New Jersey","United States","United States",85000
"Louisiana-Michigan","Louisiana","Michigan","United States","United States",84680
"North Carolina-Rhode Island","North Carolina","Rhode Island","United States","United States",83190
"Illinois-New Mexico","Illinois","New Mexico","United States","United States",81000
"Florida-New Mexico","Florida","New Mexico","United States","United States",80990
"Kentucky-Minnesota","Kentucky","Minnesota","United States","United States",80100
"Alaska-Texas","Alaska","Texas","United States","United States",80060
"Indiana-New Jersey","Indiana","New Jersey","United States","United States",80000
"Georgia-Nebraska","Georgia","Nebraska","United States","United States",79620
"Pennsylvania-Utah","Pennsylvania","Utah","United States","United States",79320
"North Carolina-Oregon","North Carolina","Oregon","United States","United States",78760
"Louisiana-Washington","Louisiana","Washington","United States","United States",78330
"Illinois-New Hampshire","Illinois","New Hampshire","United States","United States",77210
"New Jersey-Oregon","New Jersey","Oregon","United States","United States",76440
"Washington-Wisconsin","Washington","Wisconsin","United States","United States",75910
"New Mexico-New York","New Mexico","New York","United States","United States",75790
"Colorado-Connecticut","Colorado","Connecticut","United States","United States",75020
"Maryland-Virginia","Maryland","Virginia","United States","United States",75000
"Oregon-Pennsylvania","Oregon","Pennsylvania","United States","United States",74830
"Florida-South Dakota","Florida","South Dakota","United States","United States",74620
"Maryland-Pennsylvania","Maryland","Pennsylvania","United States","United States",74360
"Missouri-Oklahoma","Missouri","Oklahoma","United States","United States",74180
"Idaho-Texas","Idaho","Texas","United States","United States",74120
"Louisiana-Virginia","Louisiana","Virginia","United States","United States",73250
"New York-Vermont","New York","Vermont","United States","United States",72210
"South Carolina-Virginia","South Carolina","Virginia","United States","United States",71610
"Florida-Vermont","Florida","Vermont","United States","United States",71490
"Arizona-Louisiana","Arizona","Louisiana","United States","United States",70870
"District of Columbia-Utah","District of Columbia","Utah","United States","United States",70790
"California-Rhode Island","California","Rhode Island","United States","United States",70430
"District of Columbia-Oregon","District of Columbia","Oregon","United States","United States",69950
"Colorado-South Dakota","Colorado","South Dakota","United States","United States",68990
"Connecticut-Michigan","Connecticut","Michigan","United States","United States",68920
"District of Columbia-Virginia","District of Columbia","Virginia","United States","United States",67350
"Connecticut-Pennsylvania","Connecticut","Pennsylvania","United States","United States",67200
"Alaska-Arizona","Alaska","Arizona","United States","United States",67120
"Kentucky-Massachusetts","Kentucky","Massachusetts","United States","United States",66420
"Minnesota-South Dakota","Minnesota","South Dakota","United States","United States",66380
"Maryland-Wisconsin","Maryland","Wisconsin","United States","United States",65430
"North Carolina-Oklahoma","North Carolina","Oklahoma","United States","United States",65180
"Illinois-Kansas","Illinois","Kansas","United States","United States",65160
"Michigan-Oregon","Michigan","Oregon","United States","United States",63860
"Arkansas-Nevada","Arkansas","Nevada","United States","United States",63400
"Kansas-Nevada","Kansas","Nevada","United States","United States",62870
"District of Columbia-Pennsylvania","District of Columbia","Pennsylvania","United States","United States",62720
"Maine-Pennsylvania","Maine","Pennsylvania","United States","United States",62530
"Georgia-Iowa","Georgia","Iowa","United States","United States",62430
"Arkansas-North Carolina","Arkansas","North Carolina","United States","United States",62270
"Arizona-Kansas","Arizona","Kansas","United States","United States",61820
"Alaska-Colorado","Alaska","Colorado","United States","United States",61740
"District of Columbia-Rhode Island","District of Columbia","Rhode Island","United States","United States",61610
"California-Kansas","California","Kansas","United States","United States",61510
"Alabama-New York","Alabama","New York","United States","United States",61450
"Connecticut-Virginia","Connecticut","Virginia","United States","United States",61400
"Tennessee-Utah","Tennessee","Utah","United States","United States",60880
"Minnesota-Nebraska","Minnesota","Nebraska","United States","United States",60720
"Montana-Oregon","Montana","Oregon","United States","United States",60610
"New York-Oklahoma","New York","Oklahoma","United States","United States",60570
"Indiana-Maryland","Indiana","Maryland","United States","United States",59680
"Alabama-District of Columbia","Alabama","District of Columbia","United States","United States",59240
"Oregon-Virginia","Oregon","Virginia","United States","United States",58970
"District of Columbia-Maine","District of Columbia","Maine","United States","United States",58700
"Louisiana-Ohio","Louisiana","Ohio","United States","United States",58660
"Alaska-Nevada","Alaska","Nevada","United States","United States",58580
"Indiana-Virginia","Indiana","Virginia","United States","United States",58530
"Missouri-Nebraska","Missouri","Nebraska","United States","United States",58290
"South Carolina-Tennessee","South Carolina","Tennessee","United States","United States",58190
"Alaska-Minnesota","Alaska","Minnesota","United States","United States",57930
"New Mexico-Washington","New Mexico","Washington","United States","United States",57200
"Colorado-South Carolina","Colorado","South Carolina","United States","United States",57160
"Montana-Texas","Montana","Texas","United States","United States",56580
"Missouri-South Carolina","Missouri","South Carolina","United States","United States",56070
"North Dakota-Texas","North Dakota","Texas","United States","United States",55970
"Alaska-Illinois","Alaska","Illinois","United States","United States",55450
"Georgia-Rhode Island","Georgia","Rhode Island","United States","United States",55220
"Maine-Maryland","Maine","Maryland","United States","United States",55040
"New Jersey-Wisconsin","New Jersey","Wisconsin","United States","United States",54850
"Kentucky-Utah","Kentucky","Utah","United States","United States",54210
"Georgia-New Mexico","Georgia","New Mexico","United States","United States",53670
"Pennsylvania-Rhode Island","Pennsylvania","Rhode Island","United States","United States",53270
"Colorado-Wyoming","Colorado","Wyoming","United States","United States",52780
"District of Columbia-New Jersey","District of Columbia","New Jersey","United States","United States",52650
"Kentucky-Louisiana","Kentucky","Louisiana","United States","United States",52640
"Oklahoma-Washington","Oklahoma","Washington","United States","United States",52570
"Ohio-Oregon","Ohio","Oregon","United States","United States",52500
"Kentucky-South Carolina","Kentucky","South Carolina","United States","United States",52130
"Arkansas-New York","Arkansas","New York","United States","United States",51890
"Indiana-Washington","Indiana","Washington","United States","United States",51570
"Indiana-Missouri","Indiana","Missouri","United States","United States",51400
"District of Columbia-Nebraska","District of Columbia","Nebraska","United States","United States",51130
"Florida-Kansas","Florida","Kansas","United States","United States",50990
"Oregon-Tennessee","Oregon","Tennessee","United States","United States",50800
"Kentucky-Washington","Kentucky","Washington","United States","United States",50470
"Connecticut-Minnesota","Connecticut","Minnesota","United States","United States",49650
"Utah-Virginia","Utah","Virginia","United States","United States",49600
"Louisiana-Minnesota","Louisiana","Minnesota","United States","United States",48420
"Connecticut-Nevada","Connecticut","Nevada","United States","United States",48190
"Maryland-New Mexico","Maryland","New Mexico","United States","United States",47800
"California-South Dakota","California","South Dakota","United States","United States",47520
"Ohio-Wisconsin","Ohio","Wisconsin","United States","United States",47330
"Alaska-Florida","Alaska","Florida","United States","United States",46730
"Georgia-Kansas","Georgia","Kansas","United States","United States",46530
"New Jersey-Utah","New Jersey","Utah","United States","United States",46140
"Iowa-Minnesota","Iowa","Minnesota","United States","United States",45720
"Maine-North Carolina","Maine","North Carolina","United States","United States",45650
"Alabama-Colorado","Alabama","Colorado","United States","United States",45620
"Ohio-Utah","Ohio","Utah","United States","United States",45600
"South Carolina-Washington","South Carolina","Washington","United States","United States",45600
"Kentucky-Virginia","Kentucky","Virginia","United States","United States",45470
"Nebraska-Washington","Nebraska","Washington","United States","United States",45320
"California-Wyoming","California","Wyoming","United States","United States",45310
"Alabama-Pennsylvania","Alabama","Pennsylvania","United States","United States",44440
"South Dakota-Texas","South Dakota","Texas","United States","United States",44160
"Kentucky-Missouri","Kentucky","Missouri","United States","United States",43840
"Illinois-South Dakota","Illinois","South Dakota","United States","United States",43840
"Georgia-Maine","Georgia","Maine","United States","United States",43660
"California-North Dakota","California","North Dakota","United States","United States",43660
"Arizona-South Carolina","Arizona","South Carolina","United States","United States",43640
"Rhode Island-Texas","Rhode Island","Texas","United States","United States",43320
"Colorado-Kansas","Colorado","Kansas","United States","United States",43300
"Maryland-Oregon","Maryland","Oregon","United States","United States",43220
"Iowa-North Carolina","Iowa","North Carolina","United States","United States",43050
"Indiana-South Carolina","Indiana","South Carolina","United States","United States",42950
"California-Maine","California","Maine","United States","United States",42570
"Maine-New Jersey","Maine","New Jersey","United States","United States",42480
"New Hampshire-Pennsylvania","New Hampshire","Pennsylvania","United States","United States",42470
"Alabama-Nevada","Alabama","Nevada","United States","United States",42020
"Maryland-Oklahoma","Maryland","Oklahoma","United States","United States",41700
"Arkansas-Colorado","Arkansas","Colorado","United States","United States",41110
"Oklahoma-Pennsylvania","Oklahoma","Pennsylvania","United States","United States",40980
"Tennessee-Wisconsin","Tennessee","Wisconsin","United States","United States",40960
"Iowa-New York","Iowa","New York","United States","United States",40430
"Arizona-Connecticut","Arizona","Connecticut","United States","United States",40400
"Alabama-Maryland","Alabama","Maryland","United States","United States",40240
"Mississippi-North Carolina","Mississippi","North Carolina","United States","United States",40220
"Illinois-North Dakota","Illinois","North Dakota","United States","United States",40160
"Nebraska-North Carolina","Nebraska","North Carolina","United States","United States",40130
"Idaho-Minnesota","Idaho","Minnesota","United States","United States",39720
"Iowa-Michigan","Iowa","Michigan","United States","United States",39590
"Florida-Montana","Florida","Montana","United States","United States",39140
"Nebraska-New York","Nebraska","New York","United States","United States",38480
"Nevada-South Carolina","Nevada","South Carolina","United States","United States",38460
"Michigan-Oklahoma","Michigan","Oklahoma","United States","United States",38180
"Louisiana-Oklahoma","Louisiana","Oklahoma","United States","United States",37750
"New Mexico-Oregon","New Mexico","Oregon","United States","United States",37720
"Oregon-Wisconsin","Oregon","Wisconsin","United States","United States",37530
"Idaho-Illinois","Idaho","Illinois","United States","United States",37510
"Alabama-Michigan","Alabama","Michigan","United States","United States",37350
"Louisiana-Oregon","Louisiana","Oregon","United States","United States",37090
"Virginia-Wisconsin","Virginia","Wisconsin","United States","United States",36830
