dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
real,tr00,real,,NaN,,84,Texas,US,17,2020-05-11,30
real,tr00,real,,NaN,,10,California,US,17,2020-05-11,31
real,tr00,real,,NaN,,66,Ontario,CA,17,2020-05-11,18
real,tr00,real,,NaN,,22,Estado de Mexico,MX,17,2020-05-11,25
real,tr00,real,,NaN,,55,New York,US,17,2020-05-11,71
real,tr00,real,,NaN,,84,Texas,US,18,2020-05-18,23
real,tr00,real,,NaN,,10,California,US,18,2020-05-18,38
real,tr00,real,,NaN,,66,Ontario,CA,18,2020-05-18,19
real,tr00,real,,NaN,,22,Estado de Mexico,MX,18,2020-05-18,28
real,tr00,real,,NaN,,55,New York,US,18,2020-05-18,54
real,tr00,real,,NaN,,84,Texas,US,19,2020-05-25,34
real,tr00,real,,NaN,,10,California,US,19,2020-05-25,47
real,tr00,real,,NaN,,66,Ontario,CA,19,2020-05-25,18
real,tr00,real,,NaN,,22,Estado de Mexico,MX,19,2020-05-25,29
real,tr00,real,,NaN,,55,New York,US,19,2020-05-25,46
real,tr00,real,,NaN,,84,Texas,US,20,2020-06-01,37
real,tr00,real,,NaN,,10,California,US,20,2020-06-01,46
real,tr00,real,,NaN,,66,Ontario,CA,20,2020-06-01,17
real,tr00,real,,NaN,,22,Estado de Mexico,MX,20,2020-06-01,34
real,tr00,real,,NaN,,55,New York,US,20,2020-06-01,32
real,tr00,real,,NaN,,84,Texas,US,21,2020-06-08,55
real,tr00,real,,NaN,,10,California,US,21,2020-06-08,51
real,tr00,real,,NaN,,66,Ontario,CA,21,2020-06-08,10
real,tr00,real,,NaN,,22,Estado de Mexico,MX,21,2020-06-08,31
real,tr00,real,,NaN,,55,New York,US,21,2020-06-08,25
real,tr00,real,,NaN,,84,Texas,US,22,2020-06-15,93
real,tr00,real,,NaN,,10,California,US,22,2020-06-15,75
real,tr00,real,,NaN,,66,Ontario,CA,22,2020-06-15,9
real,tr00,real,,NaN,,22,Estado de Mexico,MX,22,2020-06-15,27
real,tr00,real,,NaN,,55,New York,US,22,2020-06-15,22
real,tr00,real,,NaN,,84,Texas,US,23,2020-06-22,136
real,tr00,real,,NaN,,10,California,US,23,2020-06-22,115
real,tr00,real,,NaN,,66,Ontario,CA,23,2020-06-22,9
real,tr00,real,,NaN,,22,Estado de Mexico,MX,23,2020-06-22,25
real,tr00,real,,NaN,,55,New York,US,23,2020-06-22,22
real,tr00,real,,NaN,,84,Texas,US,24,2020-06-29,174
real,tr00,real,,NaN,,10,California,US,24,2020-06-29,124
real,tr00,real,,NaN,,66,Ontario,CA,24,2020-06-29,6
real,tr00,real,,NaN,,22,Estado de Mexico,MX,24,2020-06-29,25
real,tr00,real,,NaN,,55,New York,US,24,2020-06-29,24
real,tr00,real,,NaN,,84,Texas,US,25,2020-07-06,209
real,tr00,real,,NaN,,10,California,US,25,2020-07-06,149
real,tr00,real,,NaN,,66,Ontario,CA,25,2020-07-06,6
real,tr00,real,,NaN,,22,Estado de Mexico,MX,25,2020-07-06,23
real,tr00,real,,NaN,,55,New York,US,25,2020-07-06,24
real,tr00,real,,NaN,,84,Texas,US,26,2020-07-13,241
real,tr00,real,,NaN,,10,California,US,26,2020-07-13,163
real,tr00,real,,NaN,,66,Ontario,CA,26,2020-07-13,7
real,tr00,real,,NaN,,22,Estado de Mexico,MX,26,2020-07-13,26
real,tr00,real,,NaN,,55,New York,US,26,2020-07-13,25
real,tr00,real,,NaN,,84,Texas,US,27,2020-07-20,180
real,tr00,real,,NaN,,10,California,US,27,2020-07-20,166
real,tr00,real,,NaN,,66,Ontario,CA,27,2020-07-20,7
