dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,13,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,13,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,13,NaT,336
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,14,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,14,NaT,5
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,14,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,14,NaT,1
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,14,NaT,385
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,15,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,15,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,15,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,15,NaT,2
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,15,NaT,436
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,16,NaT,7
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,16,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,16,NaT,6
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,16,NaT,3
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,16,NaT,460
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,17,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,17,NaT,11
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,17,NaT,8
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,17,NaT,4
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,17,NaT,511
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,18,NaT,13
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,18,NaT,15
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,18,NaT,10
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,18,NaT,5
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,18,NaT,562
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,19,NaT,18
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,19,NaT,21
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,19,NaT,13
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,19,NaT,7
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,19,NaT,562
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,20,NaT,22
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,20,NaT,27
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,20,NaT,17
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,20,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,20,NaT,571
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,21,NaT,30
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,21,NaT,36
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,21,NaT,24
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,21,NaT,12
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,21,NaT,561
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,22,NaT,40
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,22,NaT,49
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,22,NaT,33
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,22,NaT,16
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,22,NaT,525
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,23,NaT,52
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,23,NaT,58
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,23,NaT,39
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,23,NaT,23
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,23,NaT,458
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,24,NaT,72
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,24,NaT,80
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,24,NaT,52
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,24,NaT,29
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,24,NaT,442
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,25,NaT,87
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,25,NaT,99
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,25,NaT,73
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,25,NaT,40
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,25,NaT,380
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,26,NaT,114
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,26,NaT,126
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,26,NaT,89
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,26,NaT,52
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,26,NaT,352
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,27,NaT,137
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,27,NaT,173
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,27,NaT,119
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,27,NaT,72
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,27,NaT,301
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,28,NaT,184
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,28,NaT,204
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,28,NaT,155
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,28,NaT,90
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,28,NaT,244
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,29,NaT,216
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,29,NaT,245
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,29,NaT,193
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,29,NaT,119
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,29,NaT,203
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,30,NaT,272
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,30,NaT,320
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,30,NaT,238
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,30,NaT,154
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,30,NaT,169
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,31,NaT,317
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,31,NaT,370
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,31,NaT,289
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,31,NaT,192
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,31,NaT,152
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,32,NaT,409
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,32,NaT,433
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,32,NaT,347
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,32,NaT,237
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,32,NaT,120
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,33,NaT,455
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,33,NaT,501
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,33,NaT,417
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,33,NaT,280
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,33,NaT,108
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,34,NaT,495
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,34,NaT,519
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,34,NaT,446
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,34,NaT,351
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,34,NaT,88
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,35,NaT,582
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,35,NaT,568
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,35,NaT,537
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,35,NaT,427
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,35,NaT,76
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,36,NaT,584
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,36,NaT,633
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,36,NaT,578
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,36,NaT,461
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,36,NaT,60
