nickname,model_label,slice,target,metric,time_window,baseline_window,rel_val,n_samples,flights,commuting,country,wave,stochastic,capped
nf_p_pois,No Flight - Patch - All,all_data,onset100,mean_mae,m2p0,m8m6,0.360938,94,nf,p,ALL,ALL,pois,0
f_p_pois,Flight - Patch - All,all_data,onset100,mean_mae,m2p0,m8m6,0.349544,94,f,p,ALL,ALL,pois,0
nf_n_pois,No Flight - Network - All,all_data,onset100,mean_mae,m2p0,m8m6,0.331092,94,nf,n,ALL,ALL,pois,0
f_n_pois,Flight - Network - All,all_data,onset100,mean_mae,m2p0,m8m6,0.346333,94,f,n,ALL,ALL,pois,0
nf_p_pois,No Flight - Patch - All,all_data,onset100,mean_wis,m8m6,m8m6,1,93.7,nf,p,ALL,ALL,pois,0
f_p_pois,Flight - Patch - All,all_data,onset100,mean_wis,m8m6,m8m6,0.985955,93.7,f,p,ALL,ALL,pois,0
nf_n_pois,No Flight - Network - All,all_data,onset100,mean_wis,m8m6,m8m6,0.985359,93.7,nf,n,ALL,ALL,pois,0
f_n_pois,Flight - Network - All,all_data,onset100,mean_wis,m8m6,m8m6,0.916218,93.7,f,n,ALL,ALL,pois,0
nf_p_pois,No Flight - Patch - All,all_data,onset100,mean_wis,m5m3,m8m6,0.683345,94,nf,p,ALL,ALL,pois,0
f_p_pois,Flight - Patch - All,all_data,onset100,mean_wis,m5m3,m8m6,0.62795,94,f,p,ALL,ALL,pois,0
nf_n_pois,No Flight - Network - All,all_data,onset100,mean_wis,m5m3,m8m6,0.668564,94,nf,n,ALL,ALL,pois,0
f_n_pois,Flight - Network - All,all_data,onset100,mean_wis,m5m3,m8m6,0.599572,94,f,n,ALL,ALL,pois,0
nf_p_pois,No Flight - Patch - All,all_data,onset100,mean_wis,m2p0,m8m6,0.304826,94,nf,p,ALL,ALL,pois,0
f_p_pois,Flight - Patch - All,all_data,onset100,mean_wis,m2p0,m8m6,0.296612,94,f,p,ALL,ALL,pois,0
nf_n_pois,No Flight - Network - All,all_data,onset100,mean_wis,m2p0,m8m6,0.281147,94,nf,n,ALL,ALL,pois,0
f_n_pois,Flight - Network - All,all_data,onset100,mean_wis,m2p0,m8m6,0.283142,94,f,n,ALL,ALL,pois,0
