nickname,model_label,target,metric,time_window,baseline_window,fixedbaseline,rel_val,n_samples,flights,commuting,stochastic,capped
nf_p_pois,No Flight - Patch - All,onset100,mean_wis,m8m6,m8m6,1,1.000000,93.7,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset100,mean_wis,m8m6,m8m6,1,0.985955,93.7,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset100,mean_wis,m8m6,m8m6,1,0.985359,93.7,nf,n,pois,0
f_n_pois,Flight - Network - All,onset100,mean_wis,m8m6,m8m6,1,0.916218,93.7,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset100,mean_wis,m5m3,m8m6,1,0.683345,94.0,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset100,mean_wis,m5m3,m8m6,1,0.627950,94.0,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset100,mean_wis,m5m3,m8m6,1,0.668564,94.0,nf,n,pois,0
f_n_pois,Flight - Network - All,onset100,mean_wis,m5m3,m8m6,1,0.599572,94.0,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset100,mean_wis,m2p0,m8m6,1,0.304826,94.0,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset100,mean_wis,m2p0,m8m6,1,0.296612,94.0,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset100,mean_wis,m2p0,m8m6,1,0.281147,94.0,nf,n,pois,0
f_n_pois,Flight - Network - All,onset100,mean_wis,m2p0,m8m6,1,0.283142,94.0,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset50,mean_mae,all,all,0,1.000000,116.9,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset50,mean_mae,all,all,0,0.976372,116.9,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset50,mean_mae,all,all,0,0.967760,116.9,nf,n,pois,0
f_n_pois,Flight - Network - All,onset50,mean_mae,all,all,0,0.950147,116.9,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset50,mean_wis,all,all,0,1.000000,116.9,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset50,mean_wis,all,all,0,0.985524,116.9,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset50,mean_wis,all,all,0,0.966800,116.9,nf,n,pois,0
f_n_pois,Flight - Network - All,onset50,mean_wis,all,all,0,0.946289,116.9,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset100,mean_mae,all,all,0,1.000000,93.9,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset100,mean_mae,all,all,0,0.969843,93.9,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset100,mean_mae,all,all,0,0.964384,93.9,nf,n,pois,0
f_n_pois,Flight - Network - All,onset100,mean_mae,all,all,0,0.943081,93.9,f,n,pois,0
nf_p_pois,No Flight - Patch - All,onset100,mean_wis,all,all,0,1.000000,93.9,nf,p,pois,0
f_p_pois,Flight - Patch - All,onset100,mean_wis,all,all,0,0.966056,93.9,f,p,pois,0
nf_n_pois,No Flight - Network - All,onset100,mean_wis,all,all,0,0.978057,93.9,nf,n,pois,0
f_n_pois,Flight - Network - All,onset100,mean_wis,all,all,0,0.918618,93.9,f,n,pois,0
