"Aguascalientes","Alabama","Alaska","Alberta","Arizona","Arkansas","Baja California","Baja California Sur","British Columbia","California","Campeche","Chiapas","Chihuahua","Coahuila de Zaragoza","Colima","Colorado","Connecticut","Delaware","District of Columbia","Distrito Federal","Durango","Estado de Mexico","Florida","Georgia","Guanajuato","Guerrero","Hawaii","Hidalgo","Idaho","Illinois","Indiana","Iowa","Jalisco","Kansas","Kentucky","Louisiana","Maine","Manitoba","Maryland","Massachusetts","Michigan","Michoacan de Ocampo","Minnesota","Mississippi","Missouri","Montana","Morelos","Nayarit","Nebraska","Nevada","New Brunswick","New Hampshire","New Jersey","New Mexico","New York","Newfoundland and Labrador","North Carolina","North Dakota","Northwest Territories","Nova Scotia","Nuevo Leon","Nunavut","Oaxaca","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince Edward Island","Puebla","Quebec","Queretaro","Quintana Roo","Rhode Island","San Luis Potosi","Saskatchewan","Sinaloa","Sonora","South Carolina","South Dakota","Tabasco","Tamaulipas","Tennessee","Texas","Tlaxcala","Utah","Veracruz de Ignacio de la Llave","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Yucatan","Yukon","Zacatecas"
0,62,0,0,3219,12,0,0,0,613,0,0,162,0,0,2764,0,0,0,0,0,0,127,149,0,0,0,0,64,60,22,61,0,86,80,149,0,0,9,30,32,0,74,117,87,38,0,0,73,197,0,32,15,2090498,24,0,195,1,0,0,0,0,0,64,147,0,60,113,0,0,0,0,0,0,0,0,0,378,70,0,0,0,79,14852,0,217,0,15,14,158,0,60,46,0,0,0
0,385,1,0,642,244,0,0,0,4938,0,0,0,0,0,943,73539,1502,544,0,0,0,8701,2030,0,0,85,0,105,1532,491,141,0,123,161,613,646,0,2309,6760,1231,0,560,284,550,63,0,0,113,423,0,977,416871,158,19973274,0,2316,0,0,0,0,0,0,1583,198,626,204,42558,0,0,91,0,0,1031,0,0,0,0,913,11,0,0,987,2173,0,269,0,2062,2357,592,132,416,87,0,0,0
0,0,0,180,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,511672,0,0,0,820,0,0,0,0,0,1000,0,0,240,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,644,0,0,162,87,0,0,0,791,0,0,0,0,0,461,222,86,87,0,0,0,3659,5502,0,0,46,0,59,943,453,43,0,66,452,277,74,0,969,292,430,0,215,200,306,29,0,0,65,297,0,88,661,45,1190,0,10332349,40,0,0,0,0,0,795,99,0,101,1282,0,0,0,0,0,75,0,0,0,0,67325,2,0,0,4087,1518,0,51,0,15,16509,127,374,230,20,0,0,0
0,50,46,0,818,100,0,0,0,391,0,0,0,0,0,1578,6,8,0,0,0,0,626,155,0,0,16,0,1644,201,188,237,0,164,36,442,3,4,43,8,374,0,31090,283,308,3561,0,0,87,259,0,36,89,86,39,0,294,765893,0,0,0,0,0,143,369,0,266,47,0,0,0,0,0,0,0,2,0,0,43,2131,0,0,172,866,0,743,0,0,81,429,15,514,1303,0,0,0
0,0,0,1780,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,280,0,0,45597,80,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,280,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4160,0,0,0,0,360,0,0,0,978357,0,0,0,0,0,3260,0,0,980,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,30,60,0,0,50,920,370,7080,30,0,0,0,0,650,1080,2880,0,0,560,120,0,3300,0,0,0,0,620,0,0,0,0,0,0,0,0,420,0,0,0,0,170,60,0,0,0,0,0,0,0,0,0,0,0,0,5763172,0,1100,0,0,0,0,0,0,2160,0,1130,70,0,8680,0,140,260,0,0,300,4610,0,1419,1570,0,5840,0,0,0,0,0,0,180,0,1660
0,0,0,160,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,100,0,39711,0,0,0,1040,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,20,3030,40,20,10,0,0,0,0,320,50,1090,0,0,50,1800,0,430,0,0,0,0,110,0,0,0,0,0,0,0,0,290,0,0,0,0,320,80,0,0,0,0,0,0,0,0,0,0,0,0,70,0,4067338,0,0,0,0,0,0,10750,0,70,20,0,70,0,80,30,0,0,160,120,0,0,980,0,12480,0,0,0,0,0,0,20,0,40
0,440,0,0,287,362,0,0,0,1154,0,0,0,0,0,854,140,97,100,0,0,0,3174,1173,0,0,10,0,76,1620,25318,168,0,123,60622,309,33,0,540,265,25101,0,268,199,577,88,0,0,77,132,0,228,817,83,1432,0,1377,0,0,0,0,0,0,11653369,179,157,49,12193,0,0,0,0,0,134,0,0,0,0,583,6,0,0,1341,1786,0,95,0,67,845,133,15643,576,46,0,0,0
0,140,7,0,464,6531,0,0,0,668,0,0,0,0,0,520,32,19,0,0,0,0,499,317,0,0,65,0,26,293,153,80,0,5064,147,1079,2,0,25,53,197,0,127,208,2958,8,0,0,101,60,0,27,107,103,136,0,140,11,0,0,0,0,0,253,3916270,0,92,350,0,0,0,0,0,41,0,0,0,0,95,1,0,0,276,13957,0,135,0,0,115,23,49,132,146,0,0,0
0,0,0,4700,0,0,0,0,5640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,310,0,74,0,0,0,0,0,0,0,940,0,0,0,397,640,0,0,0,1900,0,0,0,109,0,14677700,0,69,300,0,240660,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,13,0,311,44,0,0,0,3146,0,0,0,0,0,145,21,21,22,0,0,0,147,90,0,0,66,0,5869,175,57,19,0,34,10,39,6,0,112,47,153,0,88,15,105,130,0,0,18,161,0,42,41,92,170,0,185,34,0,0,0,0,0,174,85,0,4199084,110,0,0,0,0,0,0,0,0,0,0,66,0,0,0,99,466,0,131,0,4,70,72457,15,48,0,0,0,0
0,484,20,0,686,409,0,0,0,1607,0,0,0,0,0,517,905,30590,217,0,0,0,3164,1317,0,0,0,0,50,1183,624,112,0,149,671,568,217,0,14805,1381,1313,0,221,218,625,31,0,0,31,167,0,336,125247,93,18324,0,1708,45,0,0,0,0,0,21280,413,99,94,12697344,0,0,0,0,0,233,0,0,0,0,636,42,0,0,698,1920,0,100,0,84,2220,162,12026,227,58,0,0,0
0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,220,0,0,0,140,0,0,0,0,0,360,0,0,162138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,30,0,0,20,430,10,110,0,0,0,0,0,2040,10,5330,0,0,320,1230,0,5980,0,0,0,0,230,0,0,0,0,0,0,0,0,320,0,0,0,0,5250,50,0,0,0,0,0,0,0,0,0,0,0,0,130,0,5840,0,0,0,0,0,0,6404028,0,230,40,0,150,0,50,30,0,0,100,80,0,0,175310,0,26870,0,0,0,0,0,0,70,0,90
0,0,0,460,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,140,0,0,0,0,0,0,0,0,0,0,0,0,1600,13,0,0,37,340,0,0,0,440,0,0,0,0,0,104140,0,0,0,0,8355005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
200,0,0,0,0,0,20,20,0,0,20,120,60,150,30,0,0,0,0,1130,110,22370,0,0,61580,160,0,12930,0,0,0,0,720,0,0,0,0,0,0,0,0,7960,0,0,0,0,280,40,0,0,0,0,0,0,0,0,0,0,0,0,180,0,420,0,0,0,0,0,0,1590,0,2349967,50,0,2570,0,30,30,0,0,20,130,0,0,1440,0,1800,0,0,0,0,0,0,30,0,170
20,0,0,0,0,0,0,20,0,0,1770,4650,0,30,10,0,0,0,0,270,20,570,0,0,50,200,0,220,0,0,0,0,120,0,0,0,0,0,0,0,0,90,0,0,0,0,70,40,0,0,0,0,0,0,0,0,0,0,0,0,30,0,140,0,0,0,0,0,0,450,0,30,1855035,0,40,0,20,10,0,0,460,20,0,0,400,0,1080,0,0,0,0,0,0,57300,0,30
0,0,0,0,13,22,0,0,0,185,0,0,0,0,0,14,8175,3,27,0,0,0,606,47,0,0,11,0,0,136,14,10,0,16,3,55,144,0,150,45577,48,0,4,0,4,0,0,0,0,0,0,267,227,0,750,0,22,0,0,0,0,0,0,121,0,0,0,137,0,0,0,0,0,1018031,0,0,0,0,8,0,0,0,0,0,0,0,0,47,219,32,0,10,0,0,0,0
380,0,0,0,0,0,10,0,0,0,0,40,100,160,20,0,0,0,0,170,130,1040,0,0,5970,90,0,2670,0,0,0,0,490,0,0,0,0,0,0,0,0,340,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,980,0,130,0,0,0,0,0,0,650,0,700,20,0,2782665,0,20,60,0,0,40,2700,0,0,420,0,1850,0,0,0,0,0,0,0,0,6320
0,0,0,13920,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,0,0,0,0,0,0,0,1,0,0,0,0,360,0,0,0,0,0,0,2,0,120,0,0,0,0,0,1020,0,0,80,0,80,0,0,0,0,1151045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,170,190,0,0,60,290,990,110,70,0,0,0,0,110,1230,620,0,0,270,7780,0,1840,0,0,0,0,470,0,0,0,0,0,0,0,0,470,0,0,0,0,220,1200,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1930,0,0,0,0,0,0,500,0,190,0,0,1720,0,3019403,1630,0,0,60,20,0,0,310,0,2860,0,0,0,0,0,0,20,0,530
180,0,0,0,266,0,770,20,0,906,10,4100,1540,830,240,0,0,0,0,190,310,860,0,0,900,1790,0,1050,0,0,0,0,510,0,0,0,0,0,0,0,0,440,0,0,0,0,100,240,0,0,0,0,0,65,0,0,0,0,0,0,140,0,5430,0,0,0,0,0,0,6510,0,50,10,0,230,0,2220,2923800,0,0,20,80,0,0,1160,0,8260,0,0,0,0,0,0,60,0,310
0,462,0,0,100,78,0,0,0,372,0,0,0,0,0,42,100,28,0,0,0,0,1874,20877,0,0,34,0,181,186,248,54,0,9,185,171,90,0,144,163,208,0,71,234,175,9,0,0,12,57,0,32,180,56,250,0,41999,0,0,0,0,0,0,239,10,0,42,520,0,0,0,0,0,14,0,0,0,0,5012506,6,0,0,603,402,0,49,0,2,710,63,47,187,5,0,0,0
0,8,33,0,139,48,0,0,0,91,0,0,0,0,0,313,0,0,0,0,0,0,135,54,0,0,0,0,39,66,76,5583,0,101,52,15,11,0,0,0,59,0,3713,0,64,171,0,0,2908,67,0,4,0,0,55,0,24,836,0,0,0,0,0,47,37,0,9,23,0,0,0,0,0,0,0,0,0,0,26,873872,0,0,17,205,0,57,0,0,0,65,30,156,471,0,0,0
20,0,0,0,0,0,0,0,0,0,1140,24200,20,20,0,0,0,0,0,140,10,630,0,0,70,50,0,400,0,0,0,0,40,0,0,0,0,0,0,0,0,230,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,80,0,810,0,0,0,0,0,0,2020,0,20,130,0,80,0,80,10,0,0,2379478,350,0,0,430,0,7970,0,0,0,0,0,0,870,0,20
110,0,0,0,0,0,20,0,0,0,160,280,60,960,40,0,0,0,0,210,110,1350,0,0,290,100,0,1920,0,0,0,0,220,0,0,0,0,0,0,0,0,90,0,0,0,0,50,40,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,230,0,0,0,0,0,0,990,0,110,40,0,5710,0,50,10,0,0,110,3502175,0,2148,790,0,35780,0,0,0,0,0,0,90,0,310
0,8281,9,0,199,9181,0,0,0,866,0,0,0,0,0,353,123,0,17,0,0,0,1954,37043,0,0,10,0,74,1058,926,62,0,205,13081,483,22,0,272,152,758,0,264,55343,781,36,0,0,88,141,0,23,251,86,487,0,3279,1,0,0,0,0,0,912,325,0,59,585,0,0,0,0,0,44,0,0,0,0,852,4,0,0,6802325,2227,0,119,0,22,12140,145,244,189,0,0,0,0
0,2121,80,0,2663,13290,0,0,0,5623,0,0,10869,7920,0,2739,340,179,68,0,0,0,5911,3576,0,0,84,0,226,2073,815,479,0,1500,703,19472,169,0,674,722,1371,0,770,5054,1923,251,0,0,269,895,0,186,1046,18900,1554,0,1967,81,0,0,5880,0,0,1782,12925,0,453,1687,0,0,0,0,0,84,0,0,0,0,1179,185,0,8900,2139,29028250,0,799,0,35,1316,892,265,696,220,0,0,0
20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,230,0,1480,0,0,40,20,0,3290,0,0,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,90,0,0,0,0,0,0,15880,0,10,10,0,0,0,0,20,0,0,10,10,0,0,1087227,0,1050,0,0,0,0,0,0,0,0,0
0,60,38,0,2839,9,0,0,0,1373,0,0,0,0,0,1362,59,33,0,0,0,0,244,106,0,0,44,0,3619,52,39,34,0,11,96,152,9,0,38,117,180,0,155,97,75,188,0,0,78,1082,0,27,68,232,204,0,62,30,0,0,0,0,0,60,101,0,259,245,0,0,0,0,0,0,0,0,0,0,0,33,0,0,83,710,0,3190860,0,38,79,561,3,94,458,0,0,0
70,0,0,0,0,0,30,10,0,0,310,2590,30,100,50,0,0,0,0,920,320,2970,0,0,190,630,0,5880,0,0,0,0,240,0,0,0,0,0,0,0,0,330,0,0,0,0,380,70,0,0,0,0,0,0,0,0,0,0,0,0,250,0,17420,0,0,0,0,0,0,34780,0,130,90,0,7660,0,60,60,0,0,2120,4570,0,0,4030,0,7851709,0,0,0,0,0,0,240,0,110
0,17,0,0,47,0,0,0,0,41,0,0,0,0,0,16,327,0,6,0,0,0,100,20,0,0,0,0,0,42,52,0,0,0,42,0,365,0,19,2459,62,0,44,30,22,0,0,0,0,6,0,9204,161,0,5745,0,95,0,0,0,0,0,0,52,5,0,11,100,0,0,5,0,0,128,0,0,0,0,10,0,0,0,36,177,0,48,0,622570,72,11,14,0,0,0,0,0
0,526,16,0,240,159,0,0,0,1450,0,0,0,0,0,548,415,1173,36802,0,0,0,3195,2357,0,0,39,0,85,833,266,190,0,154,1629,233,125,0,125267,714,401,0,121,143,364,22,0,0,26,82,0,179,1065,112,1604,0,29117,10,0,0,0,0,0,1373,141,0,110,3632,0,0,0,0,0,95,0,0,0,0,1566,47,0,0,11250,1838,0,102,0,60,8274165,302,29660,155,0,0,0,0
0,185,257,0,1198,71,0,0,193,3818,0,0,0,0,0,536,33,47,128,0,0,0,502,332,0,0,250,0,18986,253,124,44,0,167,117,89,48,0,276,207,302,0,216,76,276,388,0,0,24,258,0,24,139,75,257,0,167,0,0,0,0,0,0,166,110,0,26092,226,0,0,0,0,0,77,0,0,0,0,113,21,0,0,120,1128,0,319,0,28,391,7603010,18,199,108,0,0,0
0,57,0,0,20,79,0,0,0,154,0,0,0,0,0,8,17,0,53,0,0,0,370,86,0,0,0,0,21,20,132,11,0,0,6696,72,10,0,6520,19,49,0,31,60,103,4,0,0,0,0,0,23,111,22,179,0,571,0,0,0,0,0,0,36268,87,0,9,10205,0,0,0,0,0,0,0,0,0,0,235,0,0,0,310,476,0,22,0,3,8227,88,1705627,33,50,0,0,0
0,157,0,0,376,131,0,0,0,563,0,0,0,0,0,254,73,35,0,0,0,0,1039,457,0,0,0,0,68,23812,561,3223,0,209,149,94,46,0,206,100,7638,0,19735,136,698,148,0,0,51,202,0,69,205,27,468,0,722,51,0,0,0,0,0,764,283,0,57,436,0,0,0,0,0,45,0,0,0,0,169,49,0,0,280,1079,0,54,0,16,190,255,49,5782942,0,0,0,0
0,71,12,0,345,34,0,0,0,143,0,0,0,0,0,4615,21,8,13,0,0,0,226,76,0,0,0,0,2880,58,14,60,0,50,10,63,0,0,18,7,72,0,40,59,71,937,0,0,505,145,0,0,0,52,31,0,21,12,0,0,0,0,0,56,102,0,86,73,0,0,0,0,0,0,0,0,0,0,7,1319,0,0,45,316,0,1594,0,0,24,123,4,15,569427,0,0,0
20,0,0,0,0,0,10,0,0,0,5160,880,10,10,0,0,0,0,0,150,10,250,0,0,10,20,0,140,0,0,0,0,90,0,0,0,0,0,0,0,0,20,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,100,0,110,0,0,0,0,0,0,370,0,10,1250,0,20,0,20,20,0,0,140,60,0,0,100,0,570,0,0,0,0,0,0,2249858,0,0
0,0,0,180,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42950,0
6310,0,0,0,0,0,10,0,0,0,0,20,320,1040,40,0,0,0,0,40,3610,560,0,0,360,40,0,410,0,0,0,0,2520,0,0,0,0,0,0,0,0,230,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,320,0,40,0,0,0,0,0,0,190,0,160,0,0,3600,0,60,120,0,0,30,30,0,0,290,0,110,0,0,0,0,0,0,20,0,1576028
