0,0,0,0,0,0,150504,0,0,95788,0,0,0,0,0,0,0,0,0,317514,0,0,0,0,0,0,0,0,0,0,0,0,13678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18803,0,0,0,0,0,0,0,0,0,0,0,44571,0,0,0,0,0,0,0,0,0,0,164476,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33530,6460,0,0,0,119310,0,0,0,0,0,45620,8960,0,59240,0,0,0,168300,286840,0,0,0,0,0,86570,11570,4540,0,0,11140,11190,0,0,40240,21100,37350,0,16380,0,28280,0,0,0,6380,42020,0,4020,21010,6730,61450,0,115400,0,0,0,0,0,0,24680,12930,28020,10720,44440,0,0,0,0,0,5520,0,0,0,0,13000,0,0,0,6590,290040,0,16660,0,0,35050,23030,0,9990,0,0,0,0
0,0,0,14740,67120,0,0,0,59860,216900,0,0,0,0,0,61740,0,0,12750,0,0,0,46730,32290,0,0,0,0,18890,55450,5000,0,0,0,4700,9730,0,0,9330,23100,22730,0,57930,0,23090,21660,0,0,6100,58580,0,0,12550,6430,28050,0,15610,0,0,0,0,0,0,8900,8240,22060,123790,19030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11540,80060,0,31950,0,0,10970,657990,0,7760,0,0,0,0
0,0,14740,0,639726,0,0,16852,142721.919315011,1587178,0,0,0,0,32182,40540,13000,0,100080,0,0,0,441138,56060,0,58334,0,0,0,44008,13920,0,446012,0,0,42320,0,57030.4582921935,0,107484,12420,0,90200,0,54240,0,0,0,8540,868192,37230.5933381682,0,0,0,381944,27834.0726406374,7960,0,0,43340.7491647483,0,0,50040,38180,20700,275224.094117352,97560,78920,12825.2239867669,0,189544.220336203,0,645522,0,0,52676.9158779478,72638,0,0,0,0,0,43704,57716,0,54280,0,0,0,255880,0,8720,0,0,0,0
0,33530,67120,639726,0,34440,0,0,39348,2980650,0,0,0,0,0,848090,40400,0,135230,209604,0,0,501960,308650,0,24686,0,0,110030,891860,165000,140130,511368,61820,121710,70870,12900,91232,168490,204280,325020,0,412870,9100,340350,159030,0,0,134420,485350,0,15550,244860,168080,400730,0,269380,185520,0,14612,0,0,0,209070,101730,55394,367640,284190,0,0,86442,0,294530,21460,0,116416,147024,61440,43640,113750,0,0,148580,1215830,0,401160,0,7090,111100,657040,0,186430,9670,0,0,0
0,6460,0,0,34440,0,0,0,0,115030,0,0,0,0,0,41110,0,0,23040,0,0,0,128940,132230,0,0,0,0,0,90360,9810,0,0,0,11460,12690,0,0,14000,13890,21370,0,17530,0,34610,0,0,0,4050,63400,0,0,18020,0,51890,0,62270,0,0,0,0,0,0,16760,0,26880,10470,24200,0,0,0,0,0,0,0,0,0,0,10150,0,0,0,13440,277200,0,9700,0,0,17560,19100,0,10200,0,0,0,0
150504,0,0,0,0,0,0,120207,0,37820,0,0,99978,23409,66780,0,0,0,0,2214383,74501,0,0,0,322818,65362,0,0,0,0,0,0,1778488,0,0,0,0,0,0,0,0,276823,0,0,0,0,0,74869,0,0,0,0,0,0,0,0,0,0,0,0,246541,0,79861,0,0,0,0,0,0,68909,0,42553,20829,0,14364,0,810750,194872,0,0,0,0,0,0,0,0,22443,0,0,0,0,0,0,0,0,68696
0,0,0,16852,0,0,120207,0,0,87098,0,0,0,0,0,0,0,0,0,309065,0,0,0,0,0,0,0,0,0,0,0,0,186540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119900,55701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,59860,142721.919315011,39348,0,0,0,0,3115402,0,0,0,0,8736,152760,20120,0,158220,331772,0,0,432086,88000,0,8690,0,0,11940,245066,28580,9400,321182,0,9420,40760,0,63625.8034140147,0,169116,68480,0,84660,0,62100,0,0,0,12580,705114,41966.7437009644,0,0,13360,470410,31408.4993943941,69120,0,0,48867.2808094109,0,0,21850,66500,20120,309723.28628507,148020,98320,14459.2322939762,0,213426.874361608,0,350712,0,0,57900.0388108057,30676,0,0,0,0,0,51170,351276,0,76940,0,0,12140,167920,0,26360,0,0,0,0
95788,119310,216900,1587178,2980650,115030,37820,87098,3115402,0,0,0,0,0,66160,2808550,169060,0,584230,3176778,20988,0,2607230,1322070,363844,146252,0,0,355040,3083380,334170,125320,5248626,61510,294670,493210,42570,165856,676840,1487420,681630,248372,867350,36150,934820,213250,0,0,190760,4150910,0,33930,1529250,332220,3237100,8792,852140,43660,0,64840,0,0,0,608710,229730,131642,2248540,990030,0,0,444368,0,1452884,70430,0,10886,118852,44874,162590,47520,0,0,626220,5006640,0,1280370,0,31300,1151110,3736450,9400,311090,45310,0,0,106912
